Settle Date;Security;Maturity;Bid Price;Ask Price;Accrued
2022.10.27;A510428G21;2051.04.28;49.6307;51.0082;1.9945
2022.10.27;A280323B22;2028.03.23;71.597;72.4061;3.4644
2022.10.27;A321124A22;2032.11.24;66.6823;67.9167;3.6568
2022.10.27;A320527G22;2032.05.27;65.8745;67.0171;1.8863
2022.10.27;D230222;2023.02.22;96.3705;96.4314;0
2022.10.27;D230419;2023.04.19;94.5871;94.7127;0
2022.10.27;D230628;2023.06.28;92.3164;92.4784;0
2022.10.27;D230823;2023.08.23;90.3955;90.566;0
2022.10.27;D230517;2023.05.17;93.2258;93.3479;0
2022.10.27;D231018;2023.10.18;88.3611;88.4925;0
2022.10.27;A320825B22;2032.08.25;96.7503;97.21;0.3062
2022.10.28;A231124A07;2023.11.24;92.6898;92.9092;5.5562
2022.10.28;A281022A11;2028.10.22;81.7542;82.4591;0.111
2022.10.28;A250624B14;2025.06.24;83.1144;83.6565;1.8986
2022.10.28;A240626B15;2024.06.26;84.7787;85.111;1.0192
2022.10.28;A311022A15;2031.10.22;60.7497;61.8048;0.0534
2022.10.28;A271027A16;2027.10.27;68.445;69.19;0.0082
2022.10.28;A261222D17;2026.12.22;70.5317;71.0549;2.3356
2022.10.28;A230726B18;2023.07.26;101.2;101.55;0.0927
2022.10.28;A381027A18;2038.10.27;48.9938;50.1807;0.0082
2022.10.28;A241024C18;2024.10.24;81.4607;81.7849;0.0274
2022.10.28;A300821A19;2030.08.21;62.0125;62.9833;0.5589
2022.10.28;A251126C19;2025.11.26;72.2621;72.6745;0.9205
2022.10.28;A270422B20;2027.04.22;100.5;100.85;0.2777
2022.10.28;A410425A20;2041.04.25;47.1127;48.462;1.5288
2022.10.28;A230823C20;2023.08.23;91.7257;91.8529;0.2712
2022.10.28;A290523A20;2029.05.23;60.374;61.2466;0.8658
2022.10.28;A260422E20;2026.04.22;70.6487;71.1222;0.7767
2022.10.28;A330420A20;2033.04.20;52.0743;53.1058;1.1774
2022.10.28;A340622A21;2034.06.22;50.5322;51.5316;0.789
2022.10.28;A290822B21;2029.08.22;97.65;97.95;2.2371
2022.10.28;A260826F21;2026.08.26;68.6438;69.1943;0.2589
2022.10.28;A510428G21;2051.04.28;49.6904;51.3171;2.0055
2022.10.28;A280323B22;2028.03.23;72.5421;73.3326;3.4767
2022.10.28;A321124A22;2032.11.24;67.3964;68.5504;3.6699
2022.10.28;A320527G22;2032.05.27;66.5628;67.7206;1.8986
2022.10.28;D230222;2023.02.22;96.3941;96.4757;0
2022.10.28;D230419;2023.04.19;94.763;94.8105;0
2022.10.28;D230628;2023.06.28;92.3397;92.4434;0
2022.10.28;D230823;2023.08.23;90.4584;90.6286;0
2022.10.28;D230517;2023.05.17;93.165;93.3057;0
2022.10.28;D231018;2023.10.18;88.3823;88.5985;0
2022.10.28;A320825B22;2032.08.25;96.7551;97.1834;0.3445
2022.11.02;A231124A07;2023.11.24;92.7898;93.0153;5.6384
2022.11.02;A281022A11;2028.10.22;81.12;81.9273;0.2034
2022.11.02;A250624B14;2025.06.24;83.1489;83.67;1.974
